,image_id,acevedo_label,fold,labels
5,b3e9af60-1989-446b-90c2-f78b45df4230,eosinophil,train,EO
10,d756e121-b6db-4adb-b6fd-8fc7e40f51f4,eosinophil,train,EO
12,f793e208-1348-41d9-80d1-b815b86003ad,monocyte,train,MO
13,0e90df57-3da6-4bf2-aa51-2e1082a2269f,basophil,train,BA
17,40198a1e-1005-48e5-85a7-fe7751511af2,basophil,train,BA
19,d441de17-0d3d-4f2a-84b0-7a92677d386c,monocyte,train,MO
21,9b4861cb-50cd-4341-8757-412e1a96387b,monocyte,train,MO
24,558595b5-5ae2-42dc-9977-d839fee11cf1,eosinophil,train,EO
26,277a437b-4083-4284-a83f-07a41d965df9,eosinophil,train,EO
28,c23e7ec5-6a92-4dbd-9861-fd2e017a238d,eosinophil,train,EO
30,f51b0cad-484c-4140-aaa7-357eee24370c,monocyte,train,MO
32,02b24fd7-a4b4-4a92-8364-d446d43aabef,eosinophil,train,EO
34,17b91cc5-b2ec-4348-a731-9e9ea492aeed,monocyte,train,MO
36,a812e422-83d4-4a73-8b98-809bbb7ccf84,basophil,train,BA
37,ae002f17-969a-4ac1-af6a-3124344e5cd2,eosinophil,train,EO
40,4bcc66f4-1d23-46c1-8f38-9ce5d0910dc9,eosinophil,train,EO
43,054e74e0-2563-4c8a-8a27-53df90b369ba,basophil,train,BA
45,b32b493e-dc9f-4bd3-b525-f416ad56983b,monocyte,train,MO
47,5b0d88de-7ff4-49b6-a1bd-6b5b38866e6d,eosinophil,train,EO
49,ad44496b-ab7a-415c-94a1-8c6dded27662,basophil,train,BA
52,e003d45c-3f99-4c65-8f4f-83ed62efc054,basophil,train,BA
56,3926821d-0643-4e18-9739-15b5b90a72ce,basophil,train,BA
57,33e02631-1bbd-4f1f-b09a-ca3b78a75905,basophil,train,BA
58,54bb4a94-e7f9-4df9-b17e-c9610f6d0570,monocyte,train,MO
64,9efd7e2b-1e7c-4396-b9ea-1edf77636b15,eosinophil,train,EO
72,68bd7a2f-484e-4a9c-8547-7bcbeb4b64af,eosinophil,train,EO
74,fa39f9a1-d328-4df0-8f68-17982e66df3b,monocyte,train,MO
78,d3fa6608-8743-4ca0-a044-e9ff7571c259,monocyte,train,MO
